skid	name	annotations	FBbt_id	FBbt_name	subject_id	subject_name
65855	neuron 65856	central neuron (8116), left soma (9996), needs review (272753), receives 2+ total synapses in left T1 from left or right T1 bCS (522310), receives 5+ total synapses in left T1 from left or right T1 bCS (522328), LINKED NEURON - copy of skeleton id 524157 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (524301), Paper: Phelps, Hildebrand, Graham et al. 2020 (671028)	FBbt:00059274	adult CNS neuron	VFB_001028lp	neuron 65856 (FANC:565218)
30720	neuron 30721	central neuron (8116), left soma (9996), receives 2+ total synapses in left T1 from left or right T1 bCS (522310), LINKED NEURON - copy of skeleton id 522334 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (522417), Paper: Phelps, Hildebrand, Graham et al. 2020 (671028)	FBbt:00059274	adult CNS neuron	VFB_001028l9	neuron 30721 (FANC:564024)
115533	neuron 115534	central neuron (8116), left soma (9996), receives 2+ total synapses in left T1 from left or right T1 bCS (522310), LINKED NEURON - copy of skeleton id 523073 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (523131), Paper: Phelps, Hildebrand, Graham et al. 2020 (671028)	FBbt:00059274	adult CNS neuron	VFB_001028le	neuron 115534 (FANC:564559)
27920	neuron 27921	central neuron (8116), left soma (9996), receives 2+ total synapses in left T1 from left or right T1 bCS (522310), LINKED NEURON - copy of skeleton id 523733 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (523870), Paper: Phelps, Hildebrand, Graham et al. 2020 (671028)	FBbt:00059274	adult CNS neuron	VFB_001028lh	neuron 27921 (FANC:564944)
104468	neuron 104469	central neuron (8116), left soma (9996), receives 2+ total synapses in left T1 from left or right T1 bCS (522310), LINKED NEURON - copy of skeleton id 523902 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (523964), Paper: Phelps, Hildebrand, Graham et al. 2020 (671028)	FBbt:00059274	adult CNS neuron	VFB_001028lj	neuron 104469 (FANC:565016)
115484	neuron 115485	central neuron (8116), left soma (9996), receives 2+ total synapses in left T1 from left or right T1 bCS (522310), LINKED NEURON - copy of skeleton id 524062 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (524105), Paper: Phelps, Hildebrand, Graham et al. 2020 (671028)	FBbt:00059274	adult CNS neuron	VFB_001028lm	neuron 115485 (FANC:565148)
86813	neuron 86814	central neuron (8116), left soma (9996), receives 2+ total synapses in left T1 from left or right T1 bCS (522310), LINKED NEURON - copy of skeleton id 524107 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (524135), Paper: Phelps, Hildebrand, Graham et al. 2020 (671028)	FBbt:00059274	adult CNS neuron	VFB_001028ln	neuron 86814 (FANC:565184)
117470	neuron 117471	central neuron (8116), left soma (9996), receives 2+ total synapses in left T1 from left or right T1 bCS (522310), LINKED NEURON - copy of skeleton id 524137 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (524155), Paper: Phelps, Hildebrand, Graham et al. 2020 (671028)	FBbt:00059274	adult CNS neuron	VFB_001028lo	neuron 117471 (FANC:565204)
83340	neuron 83341	central neuron (8116), left soma (9996), receives 2+ total synapses in left T1 from left or right T1 bCS (522310), receives 5+ total synapses in left T1 from left or right T1 bCS (522328), LINKED NEURON - copy of skeleton id 522956 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (523071), Paper: Phelps, Hildebrand, Graham et al. 2020 (671028)	FBbt:00059274	adult CNS neuron	VFB_001028ld	neuron 83341 (FANC:564475)
65806	neuron 65807	central neuron (8116), left soma (9996), receives 2+ total synapses in left T1 from left or right T1 bCS (522310), receives 5+ total synapses in left T1 from left or right T1 bCS (522328), LINKED NEURON - copy of skeleton id 523133 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (523633), Paper: Phelps, Hildebrand, Graham et al. 2020 (671028)	FBbt:00059274	adult CNS neuron	VFB_001028lf	neuron 65807 (FANC:564602)
83592	neuron 83593	central neuron (8116), midline soma (244863), receives 2+ total synapses in left T1 from left or right T1 bCS (522310), receives 5+ total synapses in left T1 from left or right T1 bCS (522328), LINKED NEURON - copy of skeleton id 522541 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (522719), Paper: Phelps, Hildebrand, Graham et al. 2020 (671028)	FBbt:00059274	adult CNS neuron	VFB_001028lb	neuron 83593 (FANC:564144)
102911	neuron 102912	central neuron (8116), midline soma (244863), receives 2+ total synapses in left T1 from left or right T1 bCS (522310), receives 5+ total synapses in left T1 from left or right T1 bCS (522328), LINKED NEURON - copy of skeleton id 522721 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (522954), Paper: Phelps, Hildebrand, Graham et al. 2020 (671028)	FBbt:00059274	adult CNS neuron	VFB_001028lc	neuron 102912 (FANC:564284)
87094	neuron 87095	central neuron (8116), receives 2+ total synapses in left T1 from left or right T1 bCS (522310), LINKED NEURON - copy of skeleton id 523966 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (524018), need to push updated tracing to pid 13 (640677), Paper: Phelps, Hildebrand, Graham et al. 2020 (671028)	FBbt:00059274	adult CNS neuron	VFB_001028lk	neuron 87095 (FANC:565072)
243833	Neuron 243834	central neuron (8116), receives 2+ total synapses in left T1 from left or right T1 bCS (522310), LINKED NEURON - copy of skeleton id 524020 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (524060), left soma (9996), need to push updated tracing to pid 13 (640677), Paper: Phelps, Hildebrand, Graham et al. 2020 (671028)	FBbt:00059274	adult CNS neuron	VFB_001028ll	Neuron 243834 (FANC:565120)
252962	neuron 252963	neuron (48247), central neuron (8116), left soma (9996), receives 2+ total synapses in left T1 from left or right T1 bCS (522310), LINKED NEURON - copy of skeleton id 522419 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (522539), Paper: Phelps, Hildebrand, Graham et al. 2020 (671028)	FBbt:00059274	adult CNS neuron	VFB_001028la	neuron 252963 (FANC:564075)
83502	neuron 83503	neuron (48247), central neuron (8116), left soma (9996), receives 2+ total synapses in left T1 from left or right T1 bCS (522310), LINKED NEURON - copy of skeleton id 523635 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (523731), Paper: Phelps, Hildebrand, Graham et al. 2020 (671028)	FBbt:00059274	adult CNS neuron	VFB_001028lg	neuron 83503 (FANC:564858)
244638	Neuron 244639	neuron (48247), central neuron (8116), left soma (9996), receives 2+ total synapses in left T1 from left or right T1 bCS (522310), LINKED NEURON - copy of skeleton id 523872 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (523900), Paper: Phelps, Hildebrand, Graham et al. 2020 (671028)	FBbt:00059274	adult CNS neuron	VFB_001028li	Neuron 244639 (FANC:564998)
122872	neuron 122873	left T1 chordotonal nerve (76941), sensory neuron (9131), skeleton (66512), neck chordotonal neuron (227714), LINKED NEURON - copy of skeleton id 663816 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (663830), chordotonal neuron (19708), Paper: Phelps, Hildebrand, Graham et al. 2020 (671028)	FBbt:00053163	adult prosternal chordotonal organ neuron	VFB_0010292y	neuron 122873 (FANC:664682)
123296	neuron 123297	left T1 chordotonal nerve (76941), skeleton (66512), neck chordotonal neuron (227714), sensory neuron (9131), chordotonal neuron (19708), LINKED NEURON - copy of skeleton id 669303 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (669317), Paper: Phelps, Hildebrand, Graham et al. 2020 (671028)	FBbt:00053163	adult prosternal chordotonal organ neuron	VFB_0010299r	neuron 123297 (FANC:669101)
123301	neuron 123302	left T1 chordotonal nerve (76941), skeleton (66512), neck chordotonal neuron (227714), sensory neuron (9131), chordotonal neuron (19708), LINKED NEURON - copy of skeleton id 669319 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (669332), Paper: Phelps, Hildebrand, Graham et al. 2020 (671028)	FBbt:00053163	adult prosternal chordotonal organ neuron	VFB_0010299s	neuron 123302 (FANC:669114)
123306	neuron 123307	left T1 chordotonal nerve (76941), skeleton (66512), neck chordotonal neuron (227714), sensory neuron (9131), chordotonal neuron (19708), LINKED NEURON - copy of skeleton id 669334 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (669347), Paper: Phelps, Hildebrand, Graham et al. 2020 (671028)	FBbt:00053163	adult prosternal chordotonal organ neuron	VFB_0010299t	neuron 123307 (FANC:669131)
123311	neuron 123312	left T1 chordotonal nerve (76941), skeleton (66512), neck chordotonal neuron (227714), sensory neuron (9131), chordotonal neuron (19708), LINKED NEURON - copy of skeleton id 669349 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (669362), Paper: Phelps, Hildebrand, Graham et al. 2020 (671028)	FBbt:00053163	adult prosternal chordotonal organ neuron	VFB_0010299u	neuron 123312 (FANC:669148)
123316	neuron 123317	left T1 chordotonal nerve (76941), skeleton (66512), neck chordotonal neuron (227714), sensory neuron (9131), chordotonal neuron (19708), LINKED NEURON - copy of skeleton id 669364 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (669377), Paper: Phelps, Hildebrand, Graham et al. 2020 (671028)	FBbt:00053163	adult prosternal chordotonal organ neuron	VFB_0010299v	neuron 123317 (FANC:669161)
123321	neuron 123322	left T1 chordotonal nerve (76941), skeleton (66512), neck chordotonal neuron (227714), sensory neuron (9131), chordotonal neuron (19708), LINKED NEURON - copy of skeleton id 669379 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (669392), Paper: Phelps, Hildebrand, Graham et al. 2020 (671028)	FBbt:00053163	adult prosternal chordotonal organ neuron	VFB_0010299w	neuron 123322 (FANC:669174)
123326	neuron 123327	left T1 chordotonal nerve (76941), skeleton (66512), neck chordotonal neuron (227714), sensory neuron (9131), chordotonal neuron (19708), LINKED NEURON - copy of skeleton id 669394 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (669407), Paper: Phelps, Hildebrand, Graham et al. 2020 (671028)	FBbt:00053163	adult prosternal chordotonal organ neuron	VFB_0010299x	neuron 123327 (FANC:669187)
123080	Neuron 123081	left T1 chordotonal nerve (76941), skeleton (66512), neck chordotonal neuron (227714), sensory neuron (9131), chordotonal neuron (19708), LINKED NEURON - copy of skeleton id 669409 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (669422), Paper: Phelps, Hildebrand, Graham et al. 2020 (671028)	FBbt:00053163	adult prosternal chordotonal organ neuron	VFB_0010299y	Neuron 123081 (FANC:669200)
