skid	name	annotations	FBbt_id	FBbt_name	VFB_id	VFB_name
565120	Neuron 243834 - elastic transform	receives 2+ total synapses in left T1 from left or right T1 bCS (564066), central neuron (492377), LINKED NEURON - elastic transformation of skeleton id 243833 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (565145), UPDATED FROM LINKED NEURON - 2020-07-09 10:33 PM (564073), tracing from electron microscopy (546593), left soma (492419), UPDATED FROM LINKED NEURON - 2020-08-05 08:01 PM (640598), need to push updated tracing to pid 13 (645740), UPDATED FROM LINKED NEURON - 2020-08-12 08:54 PM (656505), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)	FBbt:00059274	adult CNS neuron	VFB_001028ll	Neuron 243834 (FANC:565120)
565072	neuron 87095 - elastic transform	receives 2+ total synapses in left T1 from left or right T1 bCS (564066), central neuron (492377), LINKED NEURON - elastic transformation of skeleton id 87094 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (565117), UPDATED FROM LINKED NEURON - 2020-07-09 10:33 PM (564073), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-05 12:38 PM (638636), need to push updated tracing to pid 13 (645740), UPDATED FROM LINKED NEURON - 2020-08-12 09:12 PM (658257), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)	FBbt:00059274	adult CNS neuron	VFB_001028lk	neuron 87095 (FANC:565072)
565016	neuron 104469 - elastic transform	receives 2+ total synapses in left T1 from left or right T1 bCS (564066), left soma (492419), central neuron (492377), LINKED NEURON - elastic transformation of skeleton id 104468 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (565069), UPDATED FROM LINKED NEURON - 2020-07-09 10:33 PM (564073), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 08:53 PM (656409), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)	FBbt:00059274	adult CNS neuron	VFB_001028lj	neuron 104469 (FANC:565016)
565148	neuron 115485 - elastic transform	receives 2+ total synapses in left T1 from left or right T1 bCS (564066), left soma (492419), central neuron (492377), LINKED NEURON - elastic transformation of skeleton id 115484 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (565181), UPDATED FROM LINKED NEURON - 2020-07-09 10:33 PM (564073), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 09:07 PM (657883), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)	FBbt:00059274	adult CNS neuron	VFB_001028lm	neuron 115485 (FANC:565148)
564559	neuron 115534 - elastic transform	receives 2+ total synapses in left T1 from left or right T1 bCS (564066), left soma (492419), central neuron (492377), LINKED NEURON - elastic transformation of skeleton id 115533 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (564599), UPDATED FROM LINKED NEURON - 2020-07-09 10:33 PM (564073), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 09:08 PM (657978), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)	FBbt:00059274	adult CNS neuron	VFB_001028le	neuron 115534 (FANC:564559)
565204	neuron 117471 - elastic transform	receives 2+ total synapses in left T1 from left or right T1 bCS (564066), left soma (492419), central neuron (492377), LINKED NEURON - elastic transformation of skeleton id 117470 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (565215), UPDATED FROM LINKED NEURON - 2020-07-09 10:33 PM (564073), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 09:06 PM (657816), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)	FBbt:00059274	adult CNS neuron	VFB_001028lo	neuron 117471 (FANC:565204)
564944	neuron 27921 - elastic transform	receives 2+ total synapses in left T1 from left or right T1 bCS (564066), left soma (492419), central neuron (492377), LINKED NEURON - elastic transformation of skeleton id 27920 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (564995), UPDATED FROM LINKED NEURON - 2020-07-09 10:33 PM (564073), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 09:17 PM (658710), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)	FBbt:00059274	adult CNS neuron	VFB_001028lh	neuron 27921 (FANC:564944)
564024	neuron 30721 - elastic transform	receives 2+ total synapses in left T1 from left or right T1 bCS (564066), left soma (492419), central neuron (492377), LINKED NEURON - elastic transformation of skeleton id 30720 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (564071), UPDATED FROM LINKED NEURON - 2020-07-09 10:33 PM (564073), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 08:53 PM (656409), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)	FBbt:00059274	adult CNS neuron	VFB_001028l9	neuron 30721 (FANC:564024)
565184	neuron 86814 - elastic transform	receives 2+ total synapses in left T1 from left or right T1 bCS (564066), left soma (492419), central neuron (492377), LINKED NEURON - elastic transformation of skeleton id 86813 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (565201), UPDATED FROM LINKED NEURON - 2020-07-09 10:33 PM (564073), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 09:07 PM (657883), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)	FBbt:00059274	adult CNS neuron	VFB_001028ln	neuron 86814 (FANC:565184)
564075	neuron 252963 - elastic transform	receives 2+ total synapses in left T1 from left or right T1 bCS (564066), left soma (492419), central neuron (492377), neuron (497040), LINKED NEURON - elastic transformation of skeleton id 252962 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (564141), UPDATED FROM LINKED NEURON - 2020-07-09 10:33 PM (564073), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 09:12 PM (658257), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)	FBbt:00059274	adult CNS neuron	VFB_001028la	neuron 252963 (FANC:564075)
564998	Neuron 244639 - elastic transform	receives 2+ total synapses in left T1 from left or right T1 bCS (564066), left soma (492419), neuron (497040), central neuron (492377), LINKED NEURON - elastic transformation of skeleton id 244638 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (565013), UPDATED FROM LINKED NEURON - 2020-07-09 10:33 PM (564073), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 09:10 PM (658142), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)	FBbt:00059274	adult CNS neuron	VFB_001028li	Neuron 244639 (FANC:564998)
564858	neuron 83503 - elastic transform	receives 2+ total synapses in left T1 from left or right T1 bCS (564066), left soma (492419), neuron (497040), central neuron (492377), LINKED NEURON - elastic transformation of skeleton id 83502 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (564941), UPDATED FROM LINKED NEURON - 2020-07-09 10:33 PM (564073), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 09:21 PM (659060), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)	FBbt:00059274	adult CNS neuron	VFB_001028lg	neuron 83503 (FANC:564858)
564602	neuron 65807 - elastic transform	receives 5+ total synapses in left T1 from left or right T1 bCS (564274), receives 2+ total synapses in left T1 from left or right T1 bCS (564066), left soma (492419), central neuron (492377), LINKED NEURON - elastic transformation of skeleton id 65806 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (564855), UPDATED FROM LINKED NEURON - 2020-07-09 10:33 PM (564073), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 08:57 PM (656961), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)	FBbt:00059274	adult CNS neuron	VFB_001028lf	neuron 65807 (FANC:564602)
564475	neuron 83341 - elastic transform	receives 5+ total synapses in left T1 from left or right T1 bCS (564274), receives 2+ total synapses in left T1 from left or right T1 bCS (564066), left soma (492419), central neuron (492377), LINKED NEURON - elastic transformation of skeleton id 83340 in project id 2 on server https://catmaid3.hms.harvard.edu/catmaidvnc (564556), UPDATED FROM LINKED NEURON - 2020-07-09 10:33 PM (564073), tracing from electron microscopy (546593), UPDATED FROM LINKED NEURON - 2020-08-12 09:18 PM (658812), Paper: Phelps, Hildebrand, Graham et al. 2020 (672231)	FBbt:00059274	adult CNS neuron	VFB_001028ld	neuron 83341 (FANC:564475)
