missing terms	meta
left T1 ventral edge	left T1 ventral edge (27422
bristle	bristle (32803
left T1 leg nerve	left T1 leg nerve (76667
LINKED NEURON - copy of skeleton id 388022 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 388022 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (388036
Paper: Phelps, Hildebrand, Graham et al. 2020	Paper: Phelps, Hildebrand, Graham et al. 2020 (671028)
LINKED NEURON - copy of skeleton id 388138 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 388138 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (388161
T1 leg sensory neuron unclassified subtype	T1 leg sensory neuron unclassified subtype (669956
LINKED NEURON - copy of skeleton id 388181 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 388181 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (388196
LINKED NEURON - copy of skeleton id 388198 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 388198 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (388213
LINKED NEURON - copy of skeleton id 388230 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 388230 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (388245
LINKED NEURON - copy of skeleton id 388247 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 388247 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (388262
LINKED NEURON - copy of skeleton id 388264 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 388264 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (388278
LINKED NEURON - copy of skeleton id 388280 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 388280 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (388292
ventral bifurcator	ventral bifurcator (661980
LINKED NEURON - copy of skeleton id 388294 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 388294 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (388308
LINKED NEURON - copy of skeleton id 388433 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 388433 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (388448
LINKED NEURON - copy of skeleton id 388525 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 388525 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (388537
skeleton	skeleton (66512
LINKED NEURON - copy of skeleton id 663394 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 663394 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (663408
LINKED NEURON - copy of skeleton id 388781 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 388781 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (388794
LINKED NEURON - copy of skeleton id 388828 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 388828 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (388845
left soma	left soma (9996
left-right homologs 464 & 3823	left-right homologs 464 & 3823 (80935
T1 leg motor neuron L1 bundle	T1 leg motor neuron L1 bundle (203154
LINKED NEURON - copy of skeleton id 254797 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 254797 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (372443
top NBLAST hit for 22A08-Gal4	top NBLAST hit for 22A08-Gal4 (652589
second NBLAST hit for 81A07-Gal4	second NBLAST hit for 81A07-Gal4 (652595
left-right homologs 468 & 15680	left-right homologs 468 & 15680 (80368
LINKED NEURON - copy of skeleton id 254846 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 254846 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (372724
left-right homologs 472 & 16026	left-right homologs 472 & 16026 (80641
LINKED NEURON - copy of skeleton id 254911 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 254911 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (373599
left-right homologs 476 & 2180	left-right homologs 476 & 2180 (80693
LINKED NEURON - copy of skeleton id 254971 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 254971 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (373888
left-right homologs 480 & 11285	left-right homologs 480 & 11285 (80060
T1 leg motor neuron L2 bundle	T1 leg motor neuron L2 bundle (203098
LINKED NEURON - copy of skeleton id 254986 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 254986 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (371816
need to push updated tracing to pid 13	need to push updated tracing to pid 13 (640677
LINKED NEURON - copy of skeleton id 255048 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 255048 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (372125
left-right homologs 484 & 10781	left-right homologs 484 & 10781 (601475
LINKED NEURON - copy of skeleton id 255107 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 255107 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (372751
left-right homologs 488 & 10971	left-right homologs 488 & 10971 (601478
LINKED NEURON - copy of skeleton id 255167 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 255167 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (373524
left-right homologs 492 & 12708	left-right homologs 492 & 12708 (631131
top NBLAST hit for 56H01-LexA	top NBLAST hit for 56H01-LexA (652587
left T1 posterior edge	left T1 posterior edge (27446
left T1 anterior edge	left T1 anterior edge (27443
LINKED NEURON - copy of skeleton id 389008 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 389008 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (389024
possible hair plate	possible hair plate (20947
LINKED NEURON - copy of skeleton id 389086 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 389086 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (389106
possible campaniform sensillum	possible campaniform sensillum (80696
LINKED NEURON - copy of skeleton id 389123 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 389123 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (389138
LINKED NEURON - copy of skeleton id 389140 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 389140 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (389154
LINKED NEURON - copy of skeleton id 389156 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 389156 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (389171
LINKED NEURON - copy of skeleton id 389173 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 389173 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (389189
possible nonoblique campaniform sensillum	possible nonoblique campaniform sensillum (229103
LINKED NEURON - copy of skeleton id 389191 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 389191 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (389207
LINKED NEURON - copy of skeleton id 389224 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 389224 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (389237
LINKED NEURON - copy of skeleton id 389239 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 389239 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (389256
LINKED NEURON - copy of skeleton id 389258 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 389258 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (389273
LINKED NEURON - copy of skeleton id 389290 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 389290 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (389305
LINKED NEURON - copy of skeleton id 389322 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 389322 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (389335
LINKED NEURON - copy of skeleton id 389337 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 389337 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (389353
LINKED NEURON - copy of skeleton id 389373 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 389373 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (389388
left-right homologs 581 & 11172	left-right homologs 581 & 11172 (79961
T1 leg motor neuron L3 bundle	T1 leg motor neuron L3 bundle (203128
LINKED NEURON - copy of skeleton id 254718 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 254718 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (373904
possible stretch receptor	possible stretch receptor (229710
LINKED NEURON - copy of skeleton id 389390 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 389390 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (389415
leaves through damage	leaves through damage (6550
right soma	right soma (9992
right T1 leg nerve	right T1 leg nerve (76710
LINKED NEURON - copy of skeleton id 394844 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 394844 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (394865
right T1 ventral nerve	right T1 ventral nerve (76591
left-right homologs 10223 & 2212	left-right homologs 10223 & 2212 (94617
T1 leg motor neuron V4 bundle	T1 leg motor neuron V4 bundle (204088
LINKED NEURON - copy of skeleton id 396089 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 396089 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (396106
right T1 accessory nerve	right T1 accessory nerve (76578
left-right homologs 9888 & 2216	left-right homologs 9888 & 2216 (81124
T1 leg motor neuron A3 bundle	T1 leg motor neuron A3 bundle (204035
LINKED NEURON - copy of skeleton id 396882 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 396882 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (396902
left-right homologs 9878 & 2220	left-right homologs 9878 & 2220 (81127
LINKED NEURON - copy of skeleton id 396968 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 396968 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (396990
right T1 dorsal nerve	right T1 dorsal nerve (76615
neck motor neuron D bundle	neck motor neuron D bundle (198762
neck motor neuron	neck motor neuron (205319
LINKED NEURON - copy of skeleton id 441271 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 441271 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (441287
left-right homologs 13031 & 2236	left-right homologs 13031 & 2236 (193536
T1 leg motor neuron D1 bundle	T1 leg motor neuron D1 bundle (198812
LINKED NEURON - copy of skeleton id 441325 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 441325 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (441344
left-right homologs 2714 & 6718	left-right homologs 2714 & 6718 (80938
LINKED NEURON - copy of skeleton id 254392 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 254392 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (373510
top NBLAST hit for 81A07-Gal4	top NBLAST hit for 81A07-Gal4 (652584
LINKED NEURON - copy of skeleton id 441346 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 441346 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (441361
left-right homologs 9797 & 3040	left-right homologs 9797 & 3040 (81133
T1 leg motor neuron A4 bundle	T1 leg motor neuron A4 bundle (204079
LINKED NEURON - copy of skeleton id 397094 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 397094 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (397116
LINKED NEURON - copy of skeleton id 441147 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 441147 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (441163
LINKED NEURON - copy of skeleton id 441184 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 441184 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (441211
LINKED NEURON - copy of skeleton id 441307 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 441307 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (441323
left-right homologs 10377 & 3808	left-right homologs 10377 & 3808 (193524
T1 leg motor neuron V1 bundle	T1 leg motor neuron V1 bundle (198732
LINKED NEURON - copy of skeleton id 396224 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 396224 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (396266
LINKED NEURON - copy of skeleton id 441108 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 441108 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (441126
possible 22a08	possible 22a08 (15286
LINKED NEURON - copy of skeleton id 395804 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 395804 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (395829
left-right homologs 9171 & 3833	left-right homologs 9171 & 3833 (193545
LINKED NEURON - copy of skeleton id 395912 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 395912 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (395947
left-right homologs 9025 & 3838	left-right homologs 9025 & 3838 (79964
LINKED NEURON - copy of skeleton id 395969 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 395969 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (396005
LINKED NEURON - copy of skeleton id 394703 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 394703 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (394718
T1 leg claw chordotonal neuron A bundle	T1 leg claw chordotonal neuron A bundle (227743
T1 leg claw chordotonal neuron	T1 leg claw chordotonal neuron (227785
LINKED NEURON - copy of skeleton id 379155 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 379155 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (379170
left-right homologs 11787 & 6654	left-right homologs 11787 & 6654 (96290
T1 leg motor neuron V2 bundle	T1 leg motor neuron V2 bundle (198707
LINKED NEURON - copy of skeleton id 396205 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 396205 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (396222
LINKED NEURON - copy of skeleton id 395294 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 395294 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (395362
left-right homologs 11817 & 8565	left-right homologs 11817 & 8565 (193527
LINKED NEURON - copy of skeleton id 396187 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 396187 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (396203
left-right homologs 8992 & 12425	left-right homologs 8992 & 12425 (80326
LINKED NEURON - copy of skeleton id 254474 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 254474 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (371808
LINKED NEURON - copy of skeleton id 254510 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc	LINKED NEURON - copy of skeleton id 254510 in project id 13 on server https://catmaid3.hms.harvard.edu/catmaidvnc (372059
second NBLAST hit for 56H01-LexA	second NBLAST hit for 56H01-LexA (653325
left-right homologs 9001 & 10776	left-right homologs 9001 & 10776 (79967
