skid	name	annotation_id	annotation_name	annotaion_id
204498	KC 204498 EW		FBbt:00003686	15555708.0
204622	KC 204623 (split from 7675) EW		FBbt:00003686	15555708.0
3027230	KC 3027231 LF		FBbt:00003686	15555708.0
8370334	KC 11871 CF		FBbt:00003686	15555708.0
8379909	KC 12247 SAC		FBbt:00003686	15555708.0
8387679	KC 14919 IJA		FBbt:00003686	15555708.0
8395029	KC 10331 IJA		FBbt:00003686	15555708.0
8396796	KC 6679 SAC		FBbt:00003686	15555708.0
8398660	KC 13923 SAC		FBbt:00003686	15555708.0
8398870	KC 16259 IJA		FBbt:00003686	15555708.0
8409714	KC 14459 IJA		FBbt:00003686	15555708.0
8410988	KC 6463 SAC		FBbt:00003686	15555708.0
8411125	KC 8019 IJA		FBbt:00003686	15555708.0
8413082	KC 12527 SAC		FBbt:00003686	15555708.0
8419995	KC 11895 CF		FBbt:00003686	15555708.0
8420057	KC 10439 IJA		FBbt:00003686	15555708.0
8421369	KC 7503 CF		FBbt:00003686	15555708.0
8423134	KC 16379 SAC		FBbt:00003686	15555708.0
8426264	KC 7615 IJA		FBbt:00003686	15555708.0
8429008	KC 14271 SAC		FBbt:00003686	15555708.0
8429356	KC 16987 CF		FBbt:00003686	15555708.0
8430509	KC 16499 IJA		FBbt:00003686	15555708.0
8439172	KC 13363 IJA		FBbt:00003686	15555708.0
8439289	KC 14855 SAC		FBbt:00003686	15555708.0
8441187	KC 15067 IJA		FBbt:00003686	15555708.0
8442544	KC 11699 SAC		FBbt:00003686	15555708.0
8446417	KC 10363 SAC		FBbt:00003686	15555708.0
8447731	KC 6939 SAC		FBbt:00003686	15555708.0
8448574	KC 16995 IJA		FBbt:00003686	15555708.0
8449714	KC 15775 IJA		FBbt:00003686	15555708.0
8456586	KC 14075 IJA		FBbt:00003686	15555708.0
8460662	KC 16467 IJA		FBbt:00003686	15555708.0
8462524	KC 11519 IJA		FBbt:00003686	15555708.0
8463672	KC 16639 SAC		FBbt:00003686	15555708.0
8465140	KC 15003 SAC		FBbt:00003686	15555708.0
8473714	KC 15451 SAC		FBbt:00003686	15555708.0
8484737	KC 14183 IJA		FBbt:00003686	15555708.0
8652603	KC 14451 NS IJA		FBbt:00003686	15555708.0
8662622	KC 14079 IJA		FBbt:00003686	15555708.0
8670439	KC 6567 CF		FBbt:00003686	15555708.0
8670454	KC 7051 CF		FBbt:00003686	15555708.0
8670582	KC 6799 CF		FBbt:00003686	15555708.0
8674752	KC 8703 IJA		FBbt:00003686	15555708.0
8681055	KC 12643 IJA		FBbt:00003686	15555708.0
10874516	KC 14071 CF		FBbt:00003686	15555708.0
10108985	Putative L1 col A1 10108986 MF		FBbt:00003719	17674444.0
10654562	Putative L1 10654563 EK-GS		FBbt:00003719	17674444.0
11470178	Putative L1 col G1 11470179 MF		FBbt:00003719	17674444.0
11472770	Putative L1 col H1 11472771 CL		FBbt:00003719	17674444.0
11472940	Putative L1 col I1 11472941 HL		FBbt:00003719	17674444.0
11915725	Putative L1 11915726 EK		FBbt:00003719	17674444.0
12019444	Putative L1 12019445 EK		FBbt:00003719	17674444.0
10653985	Putative L3 10653986 EK		FBbt:00003721	17674452.0
11445251	Putative L3 col A1 11445252 MF		FBbt:00003721	17674452.0
11448596	Putative L3 col I1 11448597 HL		FBbt:00003721	17674452.0
11450469	Putative L3 col H1 11450470 CL		FBbt:00003721	17674452.0
11453913	Putative L3 col G1 11453914 CL		FBbt:00003721	17674452.0
11917227	Putative L3 11917228 EK		FBbt:00003721	17674452.0
12018069	Putative L3 12018070 EK		FBbt:00003721	17674452.0
15970720	Putative L3 6831613493 EK		FBbt:00003721	17674452.0
17253295	Putative L3 17253296 EK		FBbt:00003721	17674452.0
5293678	Putative T4a 5293679 CPM		FBbt:00003732	17691710.0
5322252	Putative T4a 5322253 RP		FBbt:00003732	17691710.0
5339991	Putative T4a 5339992 CPM		FBbt:00003732	17691710.0
