skid	name	paper_id	paper_name	annotations	synonyms	FBbt_ID
8853753	LHPV4c#1_L	15579831	Paper: Marin et al 2020	Paper: Marin et al 2020 (15579831), LHPV4c#1_L (15981177)	LHPV4c_L#1 8853754 ECM MT left	
8854268	LHPV4c#3_L	15579831	Paper: Marin et al 2020	Paper: Marin et al 2020 (15579831), LHPV4c#3_L (15981181)	LHPV4c_L#3 8854269 MT left	
8872558	LHPV4c#4_L	15579831	Paper: Marin et al 2020	Paper: Marin et al 2020 (15579831), LHPV4c#4_L (15981183)	LHPV4c_L#4 8872559 ECM left	
8880798	LHPV4c#5_L	15579831	Paper: Marin et al 2020	Paper: Marin et al 2020 (15579831), LHPV4c#5_L (15981185)	LHPV4c_L#5 8880799 MT left	
8883804	LHPV4c#2_L	15579831	Paper: Marin et al 2020	Paper: Marin et al 2020 (15579831), LHPV4c#2_L (15981179)	LHPV4c_L#2 8883805 MT left	
6084271	Protocerebral_DAN_input_c 3.13.0#5	15754388	Paper: Otto et al 2020	Paper: Otto et al 2020 (15754388), Protocerebral_DAN_input_c 3.13.0#5 (17042846)	neuron 6084272 [SMP.R]-[SIP.R] AJES Magnolia	
6084281	Protocerebral_DAN_input_c 5.3.0	15754388	Paper: Otto et al 2020	Paper: Otto et al 2020 (15754388), Protocerebral_DAN_input_c 5.3.0 (17042982)	neuron 6084282 [SMP.R]-[SEZ.R] AJES Ipomoea	
6092334	Protocerebral_DAN_input_c 3.8.0#6	15754388	Paper: Otto et al 2020	Paper: Otto et al 2020 (15754388), Protocerebral_DAN_input_c 3.8.0#6 (17042954)	Neuron 6646396 Wild Horses JH MWP	
6110086	Protocerebral_DAN_input_c 17.3.3#1	15754388	Paper: Otto et al 2020	Paper: Otto et al 2020 (15754388), Protocerebral_DAN_input_c 17.3.3#1 (17042674)	neuron 6110087 Pandora MWP	
6110252	Protocerebral_DAN_input_c 17.3.3#2	15754388	Paper: Otto et al 2020	Paper: Otto et al 2020 (15754388), Protocerebral_DAN_input_c 17.3.3#2 (17042676)	neuron 6110253 [SMP.R]-[PLP.R] AJES Starman	
6110644	Protocerebral_DAN_input_c 20.2.0#8	15754388	Paper: Otto et al 2020	Paper: Otto et al 2020 (15754388), Protocerebral_DAN_input_c 20.2.0#8 (17042802)	neuron 6110645 Satoshi Nakamoto MWP	
6115789	Protocerebral_DAN_input_c 3.9.0#2	15754388	Paper: Otto et al 2020	Paper: Otto et al 2020 (15754388), Protocerebral_DAN_input_c 3.9.0#2 (17042968)	neuron 6115790 MWP Slater	
6114897	Protocerebral_DAN_input_c 3.21.0#4	15754388	Paper: Otto et al 2020	Paper: Otto et al 2020 (15754388), Protocerebral_DAN_input_c 3.21.0#4 (17042878)	neuron 6114898 NP	
6066277	Protocerebral_DAN_input_c 10.6.0#1	15754388	Paper: Otto et al 2020	Paper: Otto et al 2020 (15754388), Protocerebral_DAN_input_c 10.6.0#1 (17042014)	neuron 6066278 [SMP.R]-[SMP.L]-[SIP.L]-[AVLP.L] Ardisia AJES	
6128360	Protocerebral_DAN_input_c 14.10.5#2	15754388	Paper: Otto et al 2020	Paper: Otto et al 2020 (15754388), Protocerebral_DAN_input_c 14.10.5#2 (17042518)	neuron 6128361 [SI/LP.R]-[SI/LP.L] AJES Catha	
6130325	Protocerebral_DAN_input_c 13.15.6#4	15754388	Paper: Otto et al 2020	Paper: Otto et al 2020 (15754388), Protocerebral_DAN_input_c 13.15.6#4 (17042458)	neuron 6130326 Tinbergen MWP 	
6130400	Protocerebral_DAN_input_c 12.10.0#6	15754388	Paper: Otto et al 2020	Paper: Otto et al 2020 (15754388), Protocerebral_DAN_input_c 12.10.0#6 (17042257)	neuron 6130401 MWP Lady Gregory TY type7-4	
6132086	Protocerebral_DAN_input_c 13.14.2#3	15754388	Paper: Otto et al 2020	Paper: Otto et al 2020 (15754388), Protocerebral_DAN_input_c 13.14.2#3 (17042416)	neuron 6132087 MWP Swammerdam	
6110667	Protocerebral_DAN_input_c 10.11.0	15754388	Paper: Otto et al 2020	Paper: Otto et al 2020 (15754388), Protocerebral_DAN_input_c 10.11.0 (17041975)	neuron 6110668 Epimetheus MWP	
6037171	Protocerebral_DAN_input_c 11.13.0#1	15754388	Paper: Otto et al 2020	Paper: Otto et al 2020 (15754388), Protocerebral_DAN_input_c 11.13.0#1 (17042055)	neuron 6037172 SMP.R-CRE.R-SMP.L AJES Borage	
6018269	Protocerebral_DAN_input_c 10.2.2#3	15754388	Paper: Otto et al 2020	Paper: Otto et al 2020 (15754388), Protocerebral_DAN_input_c 10.2.2#3 (17042001)	neuron 6018270 MWP Hades	
6036782	Protocerebral_DAN_input_c 3.24.4	15754388	Paper: Otto et al 2020	Paper: Otto et al 2020 (15754388), Protocerebral_DAN_input_c 3.24.4 (17042896)	neuron 6036783 CRE.R-SMP.R-ATL.R-IB.R Brassica	
5961483	Protocerebral_DAN_input_c 13.17.1#1	15754388	Paper: Otto et al 2020	Paper: Otto et al 2020 (15754388), Protocerebral_DAN_input_c 13.17.1#1 (17042472)	[SMP.L]-[SMP.R] 5961484 Nephilim KJH	
5961542	DAN_USN_c 1.2.0	15754388	Paper: Otto et al 2020	Paper: Otto et al 2020 (15754388), DAN_USN_c 1.2.0 (17041730)	SMP.R-ATL.R-IB.R-IC.R -> SMP.R 5961543 Anakim KJH	
5961573	Protocerebral_DAN_input_c 13.14.4#2	15754388	Paper: Otto et al 2020	Paper: Otto et al 2020 (15754388), Protocerebral_DAN_input_c 13.14.4#2 (17042422)	[SMP.R] 5961574 Og KJH	
5961579	Protocerebral_DAN_input_c 13.8.0#3	15754388	Paper: Otto et al 2020	Paper: Otto et al 2020 (15754388), Protocerebral_DAN_input_c 13.8.0#3 (17042494)	[SMP.R] 5961580 Fachen KJH	
5965808	Protocerebral_DAN_input_c 11.16.3#4	15754388	Paper: Otto et al 2020	Paper: Otto et al 2020 (15754388), Protocerebral_DAN_input_c 11.16.3#4 (17042117)	SLP.R-SIP.R -> SMP.R 5965809 Cormoran KJH	
5965965	Protocerebral_DAN_input_c 13.13.3#2	15754388	Paper: Otto et al 2020	Paper: Otto et al 2020 (15754388), Protocerebral_DAN_input_c 13.13.3#2 (17042402)	neuron 5965966 [SMP.R]-[SMP.L]-[CRE.L] Zingiber AJES	
6037165	Protocerebral_DAN_input_c 3.20.0	15754388	Paper: Otto et al 2020	Paper: Otto et al 2020 (15754388), Protocerebral_DAN_input_c 3.20.0 (17042870)	neuron 6037166 [SMP.R] Euphorbia AJES	
5966008	Protocerebral_DAN_input_c 3.17.0#2	15754388	Paper: Otto et al 2020	Paper: Otto et al 2020 (15754388), Protocerebral_DAN_input_c 3.17.0#2 (17042862)	neuron 5966009	
5990270	Protocerebral_DAN_input_c 12.8.0#10	15754388	Paper: Otto et al 2020	Paper: Otto et al 2020 (15754388), Protocerebral_DAN_input_c 12.8.0#10 (17042363)	neuron 5990271 [SMP.R]-[SLP.R]-[CA.R (anterior)] AJES Angelica	
5993635	Protocerebral_DAN_input_c 3.16.0	15754388	Paper: Otto et al 2020	Paper: Otto et al 2020 (15754388), Protocerebral_DAN_input_c 3.16.0 (17042858)	neuron 5993636 Hail Storm LT	
5999377	Protocerebral_DAN_input_c 13.15.4#3	15754388	Paper: Otto et al 2020	Paper: Otto et al 2020 (15754388), Protocerebral_DAN_input_c 13.15.4#3 (17042446)	Neuron 5999378 MWP Bernard Shaw	
6010061	Protocerebral_DAN_input_c 11.9.3#18	15754388	Paper: Otto et al 2020	Paper: Otto et al 2020 (15754388), Protocerebral_DAN_input_c 11.9.3#18 (17042189)	neuron 6010062 [SMP.R]-[SIP.R]-[SLP.R] AJES Van Dyck	
6012066	Protocerebral_DAN_input_c 3.24.3	15754388	Paper: Otto et al 2020	Paper: Otto et al 2020 (15754388), Protocerebral_DAN_input_c 3.24.3 (17042894)	Neuron 6012067 MWP Heaney	
6132138	SEZ_DAN_input_c 6.2.0	15754388	Paper: Otto et al 2020	Paper: Otto et al 2020 (15754388), SEZ_DAN_input_c 6.2.0 (17043094)	neuron 6132139 MWP Noether	
5990028	Protocerebral_DAN_input_c 12.4.0#1	15754388	Paper: Otto et al 2020	Paper: Otto et al 2020 (15754388), Protocerebral_DAN_input_c 12.4.0#1 (17042281)	[SLP.L]-[SIP.L]-[SMP.L]-[SMP.R] 5990029 Chequered Skipper KJH AJES	
6132249	Protocerebral_DAN_input_c 5.2.0#2	15754388	Paper: Otto et al 2020	Paper: Otto et al 2020 (15754388), Protocerebral_DAN_input_c 5.2.0#2 (17042976)	neuron 6132250 [SIP.R]-[SMP.R]-[SEZ.R]-[VNC] AJES Millais	
6153581	Protocerebral_DAN_input_c 15.13.0#1	15754388	Paper: Otto et al 2020	Paper: Otto et al 2020 (15754388), Protocerebral_DAN_input_c 15.13.0#1 (17042638)	neuron 6153582 Scarlet Study LT	
5955124	Protocerebral_DAN_input_c 15.3.0#1	15754388	Paper: Otto et al 2020	Paper: Otto et al 2020 (15754388), Protocerebral_DAN_input_c 15.3.0#1 (17042650)	neuron 5955125 KF	
6836000	Protocerebral_DAN_input_c 15.8.0	15754388	Paper: Otto et al 2020	Paper: Otto et al 2020 (15754388), Protocerebral_DAN_input_c 15.8.0 (17042656)	aSP-g tract 6836001 KMS TY	
6834056	Protocerebral_DAN_input_c 10.10.7#4	15754388	Paper: Otto et al 2020	Paper: Otto et al 2020 (15754388), Protocerebral_DAN_input_c 10.10.7#4 (17041967)	aSP-g tract 6834057 KMS	
6735444	Protocerebral_DAN_input_c 3.13.0#8	15754388	Paper: Otto et al 2020	Paper: Otto et al 2020 (15754388), Protocerebral_DAN_input_c 3.13.0#8 (17042852)	neuron 6735445 [SMP.R]/[SIP.R]-[SMP.L]/[SIP.L] AJES Psychotria	
6731898	Protocerebral_DAN_input_c 12.5.1	15754388	Paper: Otto et al 2020	Paper: Otto et al 2020 (15754388), Protocerebral_DAN_input_c 12.5.1 (17042287)	neuron 6731899 MWP Gymnothorax moringa	
6640648	Protocerebral_DAN_input_c 11.16.10#11	15754388	Paper: Otto et al 2020	Paper: Otto et al 2020 (15754388), Protocerebral_DAN_input_c 11.16.10#11 (17042097)	Neuron 6640649 B LT NM JH	
6580156	Protocerebral_DAN_input_c 11.9.3#20	15754388	Paper: Otto et al 2020	Paper: Otto et al 2020 (15754388), Protocerebral_DAN_input_c 11.9.3#20 (17042193)	neuron 6580157 Common Blue KJH	
6536743	Protocerebral_DAN_input_c 17.4.2#6	15754388	Paper: Otto et al 2020	Paper: Otto et al 2020 (15754388), Protocerebral_DAN_input_c 17.4.2#6 (17042696)	neuron 6536744 [SMP.R] (aIP lin) AJES Argemone	
6536721	Protocerebral_DAN_input_c 9.7.2#3	15754388	Paper: Otto et al 2020	Paper: Otto et al 2020 (15754388), Protocerebral_DAN_input_c 9.7.2#3 (17043078)	neuron 6536722 [SMP.R]-[SIP.R] (Type II soma tract) AJES Fittonia 	
6536668	Protocerebral_DAN_input_c 3.13.0#7	15754388	Paper: Otto et al 2020	Paper: Otto et al 2020 (15754388), Protocerebral_DAN_input_c 3.13.0#7 (17042850)	neuron 6536669 [SMP.R]-[SMP.L] AJES Echinopsis	
