skid	name	paper_id	paper_name	annotations	synonyms
14393658	vchA/B a3l	19428820	Ohyama, Schneider-Mizell et al. 2015	SN (19013462), sensories (19016868), left (19013761), A3 (19016904), chordotonal (19027893), vch (19027910), chordotonal core circuit (19032022), cho_test (19035046), abd_basin_data (19124053), repetition_validation (19132276), short_group (19141807), Javier chordotonal (19393140), Javier to analyze (19393189), somatosensory (19407640), Valdes-Aleman et al. 2021 (19428580), Ohyama, Schneider-Mizell et al. 2015 (19428820), clb:review90_2021-05-26 (19429379)	
14395562	v'ch a3l	19428820	Ohyama, Schneider-Mizell et al. 2015	SN (19013462), sensories (19016868), left (19013761), A3 (19016904), chordotonal (19027893), vch (19027910), chordotonal core circuit (19032022), cho_test (19035046), abd_basin_data (19124053), repetition_validation (19132276), short_group (19141807), Javier chordotonal (19393140), Javier to analyze (19393189), somatosensory (19407640), Valdes-Aleman et al. 2021 (19428580), Ohyama, Schneider-Mizell et al. 2015 (19428820), clb:review90_2021-05-26 (19429379)	
14397610	vchB/A a3l	19428820	Ohyama, Schneider-Mizell et al. 2015	SN (19013462), sensories (19016868), left (19013761), A3 (19016904), chordotonal (19027893), vch (19027910), chordotonal core circuit (19032022), cho_test (19035046), abd_basin_data (19124053), repetition_validation (19132276), short_group (19141807), Javier chordotonal (19393140), Javier to analyze (19393189), somatosensory (19407640), Valdes-Aleman et al. 2021 (19428580), Ohyama, Schneider-Mizell et al. 2015 (19428820), clb:review90_2021-05-26 (19429379)	
14420334	v'ada_a3l	19428820	Ohyama, Schneider-Mizell et al. 2015	A3 (19016904), Left (19012819), SN (19013462), sensories (19016868), md (11) (19016971), left (19013761), v'ada (19032496), ppks (19122032), abd_basin_data (19124053), all_ppks (19131404), repetition_validation (19132276), ppk1.9-GAL4 (19141888), ppk-1kb-hs43-lexA-GAD (19141903), md class IV (19032498), complete_mdiv (19152622), l1b_core (19242482), Javier class IV (19393163), Javier to analyze (19393189), somatosensory (19407640), Ohyama, Schneider-Mizell et al. 2015 (19428820), clb:review90_2021-05-26 (19429379)	
14426460	vdaB_a3l	19428820	Ohyama, Schneider-Mizell et al. 2015	A3 (19016904), Left (19012819), SN (19013462), sensories (19016868), md (11) (19016971), left (19013761), vdaB (19032500), ppks (19122032), abd_basin_data (19124053), all_ppks (19131404), repetition_validation (19132276), ppk1.9-GAL4 (19141888), ppk-1kb-hs43-lexA-GAD (19141903), md class IV (19032498), complete_mdiv (19152622), l1b_core (19242482), Javier class IV (19393163), Javier to analyze (19393189), somatosensory (19407640), Ohyama, Schneider-Mizell et al. 2015 (19428820), clb:review90_2021-05-26 (19429379)	
14430196	lch5-1 a3l	19428820	Ohyama, Schneider-Mizell et al. 2015	A3 (19016904), ISN (19013697), sensories (19016868), lch5 (19027882), chordotonal (19027893), left (19013761), chordotonal core circuit (19032022), cho_test (19035046), abd_basin_data (19124053), repetition_validation (19132276), short_group (19141807), lch5-1 (19150537), Javier chordotonal (19393140), Javier to analyze (19393189), somatosensory (19407640), Valdes-Aleman et al. 2021 (19428580), Ohyama, Schneider-Mizell et al. 2015 (19428820)	
14431742	lch5-3 a3l	19428820	Ohyama, Schneider-Mizell et al. 2015	sensories (19016868), A3 (19016904), ISN (19013697), lch5 (19027882), chordotonal (19027893), left (19013761), chordotonal core circuit (19032022), cho_test (19035046), abd_basin_data (19124053), repetition_validation (19132276), short_group (19141807), Javier chordotonal (19393140), Javier to analyze (19393189), somatosensory (19407640), Valdes-Aleman et al. 2021 (19428580), Ohyama, Schneider-Mizell et al. 2015 (19428820)	
14433576	lch5-5 a3l	19428820	Ohyama, Schneider-Mizell et al. 2015	sensories (19016868), A3 (19016904), ISN (19013697), lch5 (19027882), chordotonal (19027893), left (19013761), chordotonal core circuit (19032022), cho_test (19035046), abd_basin_data (19124053), repetition_validation (19132276), long_group (19141794), Javier chordotonal (19393140), Javier to analyze (19393189), somatosensory (19407640), Valdes-Aleman et al. 2021 (19428580), Ohyama, Schneider-Mizell et al. 2015 (19428820)	
14435300	lch5-2/4 a3l	19428820	Ohyama, Schneider-Mizell et al. 2015	A3 (19016904), ISN (19013697), sensories (19016868), lch5 (19027882), chordotonal (19027893), left (19013761), chordotonal core circuit (19032022), cho_test (19035046), abd_basin_data (19124053), repetition_validation (19132276), long_group (19141794), Javier chordotonal (19393140), Javier to analyze (19393189), somatosensory (19407640), Valdes-Aleman et al. 2021 (19428580), Ohyama, Schneider-Mizell et al. 2015 (19428820)	
14436820	lch5-2/4 a3l	19428820	Ohyama, Schneider-Mizell et al. 2015	A3 (19016904), ISN (19013697), lch5 (19027882), chordotonal (19027893), left (19013761), sensories (19016868), chordotonal core circuit (19032022), cho_test (19035046), abd_basin_data (19124053), repetition_validation (19132276), long_group (19141794), Javier chordotonal (19393140), Javier to analyze (19393189), somatosensory (19407640), Valdes-Aleman et al. 2021 (19428580), Ohyama, Schneider-Mizell et al. 2015 (19428820)	
14463820	ddaC_a3l	19428820	Ohyama, Schneider-Mizell et al. 2015	Neuron 19150116 (19150142), md (11) #73950 (19017162), all_ppks (19131404), left intersegmental (23) (19017058), sensories (19016868), ddaC (19032504), A3 (19016904), ppk-1kb-hs43-lexA-GAD (19141903), abd_basin_data (19124053), ISN (19013697), ppks (19122032), md class IV (19032498), repetition_validation (19132276), ppk1.9-GAL4 (19141888), Left (19012819), Neuron 19150138 (19150159), complete_mdiv (19152622), l1b_core (19242482), Javier class IV (19393163), Javier to analyze (19393189), somatosensory (19407640), Ohyama, Schneider-Mizell et al. 2015 (19428820), clb:review90_2021-05-26 (19429379)	
14469572	vchA/B a3r	19428820	Ohyama, Schneider-Mizell et al. 2015	testing (19017811), most_local_neurons (19017847), everythingforcho (19017886), all_chordotonals (19018492), vch_lch55_microcircuit (19018525), chordotonal (19027893), vch (19027910), chordotonal core circuit (19032022), cho_test (19035046), abd_basin_data (19124053), repetition_validation (19132276), short_group (19141807), Javier chordotonal (19393140), Javier to analyze (19393189), Valdes-Aleman et al. 2021 (19428580), Ohyama, Schneider-Mizell et al. 2015 (19428820), clb:review90_2021-05-26 (19429379)	
14470442	v'ch a3r	19428820	Ohyama, Schneider-Mizell et al. 2015	testing (19017811), most_local_neurons (19017847), everythingforcho (19017886), all_chordotonals (19018492), vch_lch55_microcircuit (19018525), chordotonal (19027893), vch (19027910), chordotonal core circuit (19032022), cho_test (19035046), abd_basin_data (19124053), repetition_validation (19132276), short_group (19141807), Javier chordotonal (19393140), Javier to analyze (19393189), Valdes-Aleman et al. 2021 (19428580), Ohyama, Schneider-Mizell et al. 2015 (19428820), clb:review90_2021-05-26 (19429379)	
14471330	vchB/A a3r	19428820	Ohyama, Schneider-Mizell et al. 2015	most_local_neurons (19017847), everythingforcho (19017886), all_chordotonals (19018492), vch_lch55_microcircuit (19018525), chordotonal (19027893), vch (19027910), chordotonal core circuit (19032022), cho_test (19035046), abd_basin_data (19124053), repetition_validation (19132276), short_group (19141807), Javier chordotonal (19393140), Javier to analyze (19393189), Valdes-Aleman et al. 2021 (19428580), Ohyama, Schneider-Mizell et al. 2015 (19428820), clb:review90_2021-05-26 (19429379)	
14475920	vdaB_a3r	19428820	Ohyama, Schneider-Mizell et al. 2015	Right (19013456), A3 (19016904), right (19013691), SN (19013462), sensories (19016868), testing (19017811), vdaB (19032500), ppks (19122032), abd_basin_data (19124053), all_ppks (19131404), repetition_validation (19132276), ppk1.9-GAL4 (19141888), ppk-1kb-hs43-lexA-GAD (19141903), md class IV (19032498), complete_mdiv (19152622), l1b_core (19242482), Javier class IV (19393163), Javier to analyze (19393189), Ohyama, Schneider-Mizell et al. 2015 (19428820), clb:review90_2021-05-26 (19429379)	
14478068	v'ada_a3r	19428820	Ohyama, Schneider-Mizell et al. 2015	Right (19013456), A3 (19016904), right (19013691), SN (19013462), sensories (19016868), v'ada (19032496), ppks (19122032), abd_basin_data (19124053), all_ppks (19131404), repetition_validation (19132276), ppk1.9-GAL4 (19141888), ppk-1kb-hs43-lexA-GAD (19141903), md class IV (19032498), complete_mdiv (19152622), l1b_core (19242482), Javier class IV (19393163), Javier to analyze (19393189), Ohyama, Schneider-Mizell et al. 2015 (19428820)	
14483942	lch5-1 a3r	19428820	Ohyama, Schneider-Mizell et al. 2015	sensories (19016868), right intersegmental (23) (19017220), ISN (19013697), ch (5) #75245 (19017223), A3 (19016904), testing (19017811), most_local_neurons (19017847), everythingforcho (19017886), all_chordotonals (19018492), lch5 (19027882), chordotonal (19027893), chordotonal core circuit (19032022), cho_test (19035046), abd_basin_data (19124053), repetition_validation (19132276), short_group (19141807), Javier chordotonal (19393140), Javier to analyze (19393189), Valdes-Aleman et al. 2021 (19428580), Ohyama, Schneider-Mizell et al. 2015 (19428820)	
14485236	lch5-3 a3r	19428820	Ohyama, Schneider-Mizell et al. 2015	A3 (19016904), ISN (19013697), right intersegmental (23) (19017220), sensories (19016868), used to be lch55 #75532 (19017230), ch (5) #75245 (19017223), testing (19017811), most_local_neurons (19017847), everythingforcho (19017886), all_chordotonals (19018492), lch5 (19027882), chordotonal (19027893), chordotonal core circuit (19032022), cho_test (19035046), abd_basin_data (19124053), repetition_validation (19132276), short_group (19141807), Javier chordotonal (19393140), Javier to analyze (19393189), Valdes-Aleman et al. 2021 (19428580), Ohyama, Schneider-Mizell et al. 2015 (19428820)	
14486828	lch5-5 a3r	19428820	Ohyama, Schneider-Mizell et al. 2015	A3 (19016904), used to be lch53 #75359 (19017234), ISN (19013697), right intersegmental (23) (19017220), sensories (19016868), ch (5) #75245 (19017223), most_local_neurons (19017847), all_chordotonals (19018492), vch_lch55_microcircuit (19018525), lch5 (19027882), chordotonal (19027893), chordotonal core circuit (19032022), cho_test (19035046), abd_basin_data (19124053), repetition_validation (19132276), long_group (19141794), Javier chordotonal (19393140), Javier to analyze (19393189), Valdes-Aleman et al. 2021 (19428580), Ohyama, Schneider-Mizell et al. 2015 (19428820)	
14488066	lch5-2/4 a3r	19428820	Ohyama, Schneider-Mizell et al. 2015	sensories (19016868), right intersegmental (23) (19017220), ISN (19013697), ch (5) #75245 (19017223), A3 (19016904), most_local_neurons (19017847), everythingforcho (19017886), all_chordotonals (19018492), lch5 (19027882), chordotonal (19027893), chordotonal core circuit (19032022), cho_test (19035046), abd_basin_data (19124053), repetition_validation (19132276), long_group (19141794), Javier chordotonal (19393140), Javier to analyze (19393189), Valdes-Aleman et al. 2021 (19428580), Ohyama, Schneider-Mizell et al. 2015 (19428820)	
