skid	name	paper_id	paper_name
14393658	vchA/B a3l	19428820	Ohyama, Schneider-Mizell et al. 2015
14395562	v'ch a3l	19428820	Ohyama, Schneider-Mizell et al. 2015
14397610	vchB/A a3l	19428820	Ohyama, Schneider-Mizell et al. 2015
14420334	v'ada_a3l	19428820	Ohyama, Schneider-Mizell et al. 2015
14426460	vdaB_a3l	19428820	Ohyama, Schneider-Mizell et al. 2015
14430196	lch5-1 a3l	19428820	Ohyama, Schneider-Mizell et al. 2015
14431742	lch5-3 a3l	19428820	Ohyama, Schneider-Mizell et al. 2015
14433576	lch5-5 a3l	19428820	Ohyama, Schneider-Mizell et al. 2015
14435300	lch5-2/4 a3l	19428820	Ohyama, Schneider-Mizell et al. 2015
14436820	lch5-2/4 a3l	19428820	Ohyama, Schneider-Mizell et al. 2015
14463820	ddaC_a3l	19428820	Ohyama, Schneider-Mizell et al. 2015
14469572	vchA/B a3r	19428820	Ohyama, Schneider-Mizell et al. 2015
14470442	v'ch a3r	19428820	Ohyama, Schneider-Mizell et al. 2015
14471330	vchB/A a3r	19428820	Ohyama, Schneider-Mizell et al. 2015
14475920	vdaB_a3r	19428820	Ohyama, Schneider-Mizell et al. 2015
14478068	v'ada_a3r	19428820	Ohyama, Schneider-Mizell et al. 2015
14483942	lch5-1 a3r	19428820	Ohyama, Schneider-Mizell et al. 2015
14485236	lch5-3 a3r	19428820	Ohyama, Schneider-Mizell et al. 2015
14486828	lch5-5 a3r	19428820	Ohyama, Schneider-Mizell et al. 2015
14488066	lch5-2/4 a3r	19428820	Ohyama, Schneider-Mizell et al. 2015
14489706	lch5-2/4 a3r	19428820	Ohyama, Schneider-Mizell et al. 2015
14512656	ddaC_a3r	19428820	Ohyama, Schneider-Mizell et al. 2015
14528174	v'ada_a2r	19428820	Ohyama, Schneider-Mizell et al. 2015
14538882	vdaB_a2r	19428820	Ohyama, Schneider-Mizell et al. 2015
14552938	vdaB_a2l	19428820	Ohyama, Schneider-Mizell et al. 2015
14894408	A09b_a3r Basin-1	19428820	Ohyama, Schneider-Mizell et al. 2015
14914740	A09g_a3r Basin-3	19428820	Ohyama, Schneider-Mizell et al. 2015
14976562	A09a_a3l Basin-2	19428820	Ohyama, Schneider-Mizell et al. 2015
14983336	A09g_a3l Basin-3	19428820	Ohyama, Schneider-Mizell et al. 2015
14991314	A09c_a3l Basin-4	19428820	Ohyama, Schneider-Mizell et al. 2015
15886416	A09b_a3l Basin-1	19428820	Ohyama, Schneider-Mizell et al. 2015
16027336	ddaC_a2l	19428820	Ohyama, Schneider-Mizell et al. 2015
16042802	ddaC_a2r	19428820	Ohyama, Schneider-Mizell et al. 2015
18956276	A09a_a3r Basin-2	19428820	Ohyama, Schneider-Mizell et al. 2015
18962408	A09c_a3r Basin-4	19428820	Ohyama, Schneider-Mizell et al. 2015
19000350	v'ada_a2l	19428820	Ohyama, Schneider-Mizell et al. 2015
14452548	dbd_a3l	19428852	Schneider-Mizell, Gerhard et al. 2016
14454238	ddaD_a3l	19428852	Schneider-Mizell, Gerhard et al. 2016
14466082	dmd1_a3l	19428852	Schneider-Mizell, Gerhard et al. 2016
14504164	ddaD_a3r	19428852	Schneider-Mizell, Gerhard et al. 2016
14514892	dmd1_a3r	19428852	Schneider-Mizell, Gerhard et al. 2016
14687636	A02a_a3l Looper-1	19428852	Schneider-Mizell, Gerhard et al. 2016
14699262	A02d_a3l Looper-4	19428852	Schneider-Mizell, Gerhard et al. 2016
