skid	name	paper_id	paper_name	annotations	synonyms
13686	KC#174-abs	17515091	Paper: Baltruschat et al 2021	Paper: Zheng et al 2020 (15549507), Paper: Baltruschat et al 2021 (17515091), KC#174-abs (17515269), FBbt:00110930 (17515344)	KCaBs 13687 AJ
60445	MB-C1#2	17515091	Paper: Baltruschat et al 2021	FBbt:00100226 (10283749), Paper: Zheng et al 2018 (11490509), Paper: Baltruschat et al 2021 (17515091), MB-C1#2 (17515228)	putative MB-C1 32768 JMR
61221	Uniglomerular mALT DA1 lPN#R3	17515091	Paper: Baltruschat et al 2021	Paper: Zheng et al 2018 (11490509), Paper: Bates and Schlegel et al 2020 (15754279), Uniglomerular mALT DA1 lPN#R3 (15894918), FBbt:00067363 (15980700), Paper: Baltruschat et al 2021 (17515091)	Uniglomerular mALT DA1 lPN 61222 AJ
203840	APL 203841 MR JSL	17515091	Paper: Baltruschat et al 2021	FBbt:00100222 (10285732), Paper: Zheng et al 2018 (11490509), APL 203841 MR JSL (13732553), Paper: Baltruschat et al 2021 (17515091)	APL 203841 MR JSL
205686	KC#287-ym	17515091	Paper: Baltruschat et al 2021	Paper: Zheng et al 2020 (15549507), Paper: Baltruschat et al 2021 (17515091), KC#287-ym (17515249), FBbt:00111061 (15981943)	KCy 205687 ARH-NS
245402	KC#1510-ym	17515091	Paper: Baltruschat et al 2021	Paper: Baltruschat et al 2021 (17515091), KC#1510-ym (17515438), FBbt:00111061 (15981943)	KCy 245403 PR
527842	KC#1509-a'b'm	17515091	Paper: Baltruschat et al 2021	Paper: Baltruschat et al 2021 (17515091), KC#1509-a'b'm (17515436), FBbt:00100253 (15981941)	KCa'B'm 527843 PR
531058	KC#379-ym	17515091	Paper: Baltruschat et al 2021	Paper: Zheng et al 2020 (15549507), Paper: Baltruschat et al 2021 (17515091), KC#379-ym (17515238), FBbt:00111061 (15981943)	KCy 531059 PR
534594	KC#555-ym	17515091	Paper: Baltruschat et al 2021	Paper: Zheng et al 2020 (15549507), Paper: Baltruschat et al 2021 (17515091), KC#555-ym (17515263), FBbt:00111061 (15981943)	KCyd 534595 PR
535010	KC#556-ym	17515091	Paper: Baltruschat et al 2021	Paper: Zheng et al 2020 (15549507), Paper: Baltruschat et al 2021 (17515091), KC#556-ym (17515253), FBbt:00111061 (15981943)	KCy 535011 PR
535060	MB-C1#1	17515091	Paper: Baltruschat et al 2021	FBbt:00100226 (10283749), Paper: Zheng et al 2018 (11490509), MB-C1#1 (15995429), Paper: Dolan et al 2019 (15754283), Paper: Baltruschat et al 2021 (17515091)	MB-C1#1 535061 JSL
538159	KC#380-abs	17515091	Paper: Baltruschat et al 2021	Paper: Zheng et al 2020 (15549507), Paper: Baltruschat et al 2021 (17515091), KC#380-abs (17515274), FBbt:00110930 (17515344)	KCaBs 538160 PR
538602	KC#1508-a'b'ap	17515091	Paper: Baltruschat et al 2021	Paper: Baltruschat et al 2021 (17515091), KC#1508-a'b'ap (17515434), FBbt:00100250 (15981910)	KCa'B'ap 538603 PR
