skid	name	paper_id	paper_name	synonyms
3021394	DPMl12 ant s 7 Right	21218996	Andrade et al. 2019	
3054794	DPLal1-3 s 1 Left	21218996	Andrade et al. 2019	
3384681	BLP34 a s 1 Right	21218996	Andrade et al. 2019	
3755622	DPMpm1 s left	21218996	Andrade et al. 2019	
4126720	BLP34 a s 4 Right	21218996	Andrade et al. 2019	
4126726	BLP34 a s 7 Right	21218996	Andrade et al. 2019	
4127963	BLP34 b s 5 Right	21218996	Andrade et al. 2019	
4127975	BLP34 b s 6 Right	21218996	Andrade et al. 2019	
4127978	BLP34 b s 4 Right	21218996	Andrade et al. 2019	
4127984	BLP34 b s 3 Right	21218996	Andrade et al. 2019	
4127987	BLP34 b s 2 Right	21218996	Andrade et al. 2019	
4127993	BLP34 b s 1 Right	21218996	Andrade et al. 2019	
4204737	DALcm12 v s 4 Right	21218996	Andrade et al. 2019	
4211235	DALcm12 v s 3 Right	21218996	Andrade et al. 2019	
4224044	BLAd OL s 3 Right	21218996	Andrade et al. 2019	
4332495	BLAd OL s 2 Right	21218996	Andrade et al. 2019	
4662552	BLAd OL s 5 Right	21218996	Andrade et al. 2019	
4662725	BLAd OL s 4 Right	21218996	Andrade et al. 2019	
4663219	BLAd OL s 4 Left	21218996	Andrade et al. 2019	
4663662	BLAd OL s 5 Left	21218996	Andrade et al. 2019	
4663668	BLAd OL s 3 Left	21218996	Andrade et al. 2019	
4990529	neuron  s 4990530	21218996	Andrade et al. 2019	
5166338	BAmv12 ven s 1 Right	21218996	Andrade et al. 2019	
5517913	BAla12 s 1 Right	21218996	Andrade et al. 2019	
5593689	BAmas12 dor s 2 Right	21218996	Andrade et al. 2019	
5594467	BAmas12 dor s 1 Right	21218996	Andrade et al. 2019	
5731448	BAmv12 int s 4 Right	21218996	Andrade et al. 2019	
5757817	BLVp2 s 7 Right ; telegoro-like	21218996	Andrade et al. 2019	
5759393	BLVp2 s 3 Left	21218996	Andrade et al. 2019	
5770448	BLVp2 s 5 Left	21218996	Andrade et al. 2019	
5818143	DALcm12 v s 6 Right	21218996	Andrade et al. 2019	
5904499	DALcl12 d s 11 Left	21218996	Andrade et al. 2019	
5999941	DPMpm2 s loSM 1 Right	21218996	Andrade et al. 2019	
6046598	DPMpm2 s loSM 3 Right	21218996	Andrade et al. 2019	
6047538	DPMpm2 s loSM 2 Right	21218996	Andrade et al. 2019	
6152239	CM4 s MEFcom 1 Right	21218996	Andrade et al. 2019	
6156597	DALd s 6 Right	21218996	Andrade et al. 2019	
6192490	DALcl12 d s 4 Right	21218996	Andrade et al. 2019	
7005152	CPd s 3 Left	21218996	Andrade et al. 2019	
7005160	CPd s 2 Left	21218996	Andrade et al. 2019	
7005168	CPd s 1 Left	21218996	Andrade et al. 2019	
7005176	CPd s 4 Left	21218996	Andrade et al. 2019	
7371869	BAmd1 d s 2 Right	21218996	Andrade et al. 2019	
7372611	BAmd1 d s 1 Right	21218996	Andrade et al. 2019	
7373095	BAmd1 d s 3 Right	21218996	Andrade et al. 2019	
