skid	name	paper_id	paper_name	synonyms	FBbt_ID
16713121	MN21/22 (RF:LT1/LT2) LT2_a1r  	19496665	Zwart et al. 2016		
4881629	MN8 (RF:SBM) LT3_a1r 	19496665	Zwart et al. 2016		
4326468	MN8 (RF:SBM) LT3_a1l	19496665	Zwart et al. 2016		
4289773	MN23/24 (RF: LT3/LT4) LT4_a1l	19496665	Zwart et al. 2016		
4121534	MN23/24 (RF: LT3/LT4) LT4_a1r  	19496665	Zwart et al. 2016		
4102728	MN22/23 (RF:LT2/LT3) LT1_a1r  	19496665	Zwart et al. 2016		
4042315	MN22/23 (RF:LT2/LT3) LT1_a1l	19496665	Zwart et al. 2016		
6467481	MN21/22 (RF:LT1/LT2) LT2_a1l	19496665	Zwart et al. 2016		
17068730	OAN-a1	19711421	Berck, Khandelwal et al. 2016	Ladder (olfactory) ant.	
17844900	Giant-step left	19711421	Berck, Khandelwal et al. 2016		
13803032	CN-51	19711421	Berck, Khandelwal et al. 2016	Projection from LH 2_right|MB2ON-38|LH-19|LHN-15	
3813487	OAN-a2	19711421	Berck, Khandelwal et al. 2016	Ladder (olfactory) post.	
16883909	MBON-b3	19711583	Eichler, Li, Litwin-Kumar et al. 2017	MBE33 left	
4381129	MBIN-l1	19711583	Eichler, Li, Litwin-Kumar et al. 2017	MBE19 left	
4381377	DAN-g1	19711583	Eichler, Li, Litwin-Kumar et al. 2017	MBE4f left	
4393049	Gustatory PN 4	19711583	Eichler, Li, Litwin-Kumar et al. 2017	non-olfactory PN right	
4401350	MBON-g1	19711583	Eichler, Li, Litwin-Kumar et al. 2017	MBE15a left	
4414163	DAN-j1	19711583	Eichler, Li, Litwin-Kumar et al. 2017	MBE1d left	
4414184	DAN-j1	19711583	Eichler, Li, Litwin-Kumar et al. 2017	MBE1d right	
4598363	MBON-g1	19711583	Eichler, Li, Litwin-Kumar et al. 2017	MBE15a right	
4620453	AVL011 PN Right 2?	19711583	Eichler, Li, Litwin-Kumar et al. 2017		
4635057	Thermo PN 6	19711583	Eichler, Li, Litwin-Kumar et al. 2017	PVL005 - 2 Left	
4241237	MBON-d1	19711583	Eichler, Li, Litwin-Kumar et al. 2017	MBE6 right	
4876704	Unknown PN 1	19711583	Eichler, Li, Litwin-Kumar et al. 2017	PN in Olfactory Bundle 1 right	
4985759	Thermo PN 2	19711583	Eichler, Li, Litwin-Kumar et al. 2017	AVL011 PN Left	
5395823	MBON-g2	19711583	Eichler, Li, Litwin-Kumar et al. 2017	MBE15b left	
5966099	DAN-d1	19711583	Eichler, Li, Litwin-Kumar et al. 2017	MBE4h right	
6611894	DAN-i1	19711583	Eichler, Li, Litwin-Kumar et al. 2017	MBE1c right	
6699205	MBON-d2	19711583	Eichler, Li, Litwin-Kumar et al. 2017	MBE30 right	
7020344	Gustatory PN 3	19711583	Eichler, Li, Litwin-Kumar et al. 2017	handlebar-like 4 right	
7055857	MBON-d1	19711583	Eichler, Li, Litwin-Kumar et al. 2017	MBE6 left	
7057894	DAN-i1	19711583	Eichler, Li, Litwin-Kumar et al. 2017	MBE1c left	
7092086	Unknown PN 1	19711583	Eichler, Li, Litwin-Kumar et al. 2017	PN in Olfactory Bundle 1 left	
4884579	DAN-k1	19711583	Eichler, Li, Litwin-Kumar et al. 2017	MBE1b right	
4235139	MBIN-e1	19711583	Eichler, Li, Litwin-Kumar et al. 2017	AVM011f right	
4234009	MBON-b3	19711583	Eichler, Li, Litwin-Kumar et al. 2017	MBE33 right	
4230749	MBON-h2	19711583	Eichler, Li, Litwin-Kumar et al. 2017	MBE13b right	
17434825	CN-47	19711583	Eichler, Li, Litwin-Kumar et al. 2017	LH bilateral axon 2 MB_left; BLVa12 b 3|MB2ON-123|LH-9|Multiglomerular PN 4|LHN-11	
17355757	MBON-a2	19711583	Eichler, Li, Litwin-Kumar et al. 2017	MBE7b left	
2506050	DAN-f1	19711583	Eichler, Li, Litwin-Kumar et al. 2017	MBE4a right	
2921933	V1: possible PVL005 - 3 Right	19711583	Eichler, Li, Litwin-Kumar et al. 2017		
3234817	APL	19711583	Eichler, Li, Litwin-Kumar et al. 2017	MBE12 right	
3299214	MBON-j1	19711583	Eichler, Li, Litwin-Kumar et al. 2017	MBE2a right	
