filename	label	is_a	part_of	dbxrefs
1678567	BU ; DALd 4_left 1678567	neuron	embryonic/larval nervous system	catmaid_l1em:1678567
2439067	T3: PVLr_left 2439067	neuron	embryonic/larval nervous system	catmaid_l1em:2439067
2628785	AE:BAmd2 r bilateral_left 2628785	neuron	embryonic/larval nervous system	catmaid_l1em:2628785
2650887	CA ; DPMpm1 1_right 2650887	neuron	embryonic/larval nervous system	catmaid_l1em:2650887
3027876	Tomato Vine 2_right 3027876	neuron	embryonic/larval nervous system	catmaid_l1em:3027876
3814853	T3: PVLr_right 3814853	neuron	embryonic/larval nervous system	catmaid_l1em:3814853
3855754	SOGr Hugin-like-1_right 3855754	neuron	embryonic/larval nervous system	catmaid_l1em:3855754
3913620	T5; offPVL09_3_large_right 3913620	neuron	embryonic/larval nervous system	catmaid_l1em:3913620
3913629	Projection from LH 1_right 3913629	neuron	embryonic/larval nervous system	catmaid_l1em:3913629
4067286	SLP2_right 4067286	neuron	embryonic/larval nervous system	catmaid_l1em:4067286
4188325	DALv23 LAL 7 right 4188325	neuron	embryonic/larval nervous system	catmaid_l1em:4188325
4214582	Y ; DALcm12 L m ant lat 2_right 4214582	neuron	embryonic/larval nervous system	catmaid_l1em:4214582
4227831	AC ; DALcm12 m ant med 1_right 4227831	neuron	embryonic/larval nervous system	catmaid_l1em:4227831
4227880	EV_right  4227880	neuron	embryonic/larval nervous system	catmaid_l1em:4227880
4228105	ML_right 4228105	neuron	embryonic/larval nervous system	catmaid_l1em:4228105
4228119	P ; DALcm12  m ant lat #4_right 4228119	neuron	embryonic/larval nervous system	catmaid_l1em:4228119
4234559	CM13 lat 3_right 4234559	neuron	embryonic/larval nervous system	catmaid_l1em:4234559
4274518	Brain looper left 4274518	neuron	embryonic/larval nervous system	catmaid_l1em:4274518
4311586	AE:BAmd2 r bilateral_right 4311586	neuron	embryonic/larval nervous system	catmaid_l1em:4311586
4346154	DALcm_r right 4346154	neuron	embryonic/larval nervous system	catmaid_l1em:4346154
